#node	date	numeric date
A/BRISBANE/27/2012|EPI_ISL_122604|Queensland|2012-03-19	2012-03-20	2012.216290
NODE_0000642	2011-03-29	2011.243552
A/Victoria/189/2012|EPI_ISL_192795|VIC|2012-08-15	2012-08-16	2012.624230
A/VICTORIA/120/2012|EPI_ISL_137773|VIC|2012-08-18	2012-08-19	2012.632444
NODE_0000082	2009-11-22	2009.894725
A/NEWCASTLE/4/2010|EPI_ISL_78694|NSW|2010-06-25	2010-06-25	2010.481862
NODE_0000083	2010-04-24	2010.314669
NODE_0000084	2010-10-30	2010.832098
A/VICTORIA/725/2011|EPI_ISL_118579|VIC|2011-12-04	2011-12-04	2011.925394
NODE_0000085	2011-01-08	2011.022522
A/Perth/327/2011|EPI_ISL_192747|WA|2011-11-14	2011-11-14	2011.870637
A/Brisbane/21/2012|EPI_ISL_172969|QLD|2012-03-04	2012-03-05	2012.175222
NODE_0000086	2010-06-02	2010.419702
A/Perth/185/2011|EPI_ISL_192739|WA|2011-09-07	2011-09-07	2011.684463
A/VICTORIA/803/2011|EPI_ISL_94856|VIC|2011-04-02	2011-04-02	2011.251882
A/PERTH/81/2011|EPI_ISL_99757|WA|2011-08-05	2011-08-05	2011.594114
NODE_0000089	2010-07-15	2010.537973
A/SouthAustralia/212/2011|EPI_ISL_192757|SA|2011-09-13	2011-09-13	2011.700890
NODE_0000093	2010-11-04	2010.843935
A/Victoria/361/2011|EPI_ISL_167307|VIC|2011	2011-01-01	2011.000000
A/Tasmania/32/2011|EPI_ISL_106864|TAS|2011-10-05	2011-10-05	2011.761123
NODE_0000090	2010-08-22	2010.641514
A/VICTORIA/335/2011|EPI_ISL_99773|VIC|2011-09-28	2011-09-28	2011.741958
A/Victoria/50/2012|EPI_ISL_192802|VIC|2012-06-25	2012-06-26	2012.484600
A/VICTORIA/304/2011|EPI_ISL_99766|VIC|2011-09-14	2011-09-14	2011.703628
NODE_0000095	2011-03-11	2011.192262
A/VICTORIA/78/2012|EPI_ISL_137770|VIC|2012-07-16	2012-07-17	2012.542094
NODE_0000097	2011-09-24	2011.732351
A/Victoria/70/2012|EPI_ISL_192823|VIC|2012-06-30	2012-07-01	2012.498289
A/SOUTHAUSTRALIA/66/2012|EPI_ISL_128639|SA|2012-06-24	2012-06-25	2012.481862
NODE_0000098	2011-05-02	2011.335248
A/Brisbane/6/2012|EPI_ISL_222264|QLD|2012-02-02	2012-02-02	2012.090349
A/Victoria/213/2012|EPI_ISL_192797|VIC|2012-08-28	2012-08-29	2012.659822
A/Sydney/21/2012|EPI_ISL_288798|NSW|2012-05-18	2012-05-19	2012.380561
A/Victoria/57/2012|EPI_ISL_192820|VIC|2012-06-26	2012-06-27	2012.487337
A/Victoria/3/2012|EPI_ISL_192801|VIC|2012-05-07	2012-05-08	2012.350445
A/Perth/196/2011|EPI_ISL_192741|WA|2011-09-12	2011-09-12	2011.698152
NODE_0000101	2011-07-28	2011.574432
A/Victoria/180/2012|EPI_ISL_192792|VIC|2012-08-13	2012-08-14	2012.618754
A/SOUTHAUSTRALIA/39/2012|EPI_ISL_122577|SA|2012-06-01	2012-06-02	2012.418891
NODE_0000104	2011-08-13	2011.616693
A/Victoria/64/2012|EPI_ISL_192821|VIC|2012-06-27	2012-06-28	2012.490075
A/BRISBANE/29/2012|EPI_ISL_122564|QLD|2012-03-31	2012-04-01	2012.249144
NODE_0000107	2011-07-17	2011.542137
A/Victoria/140/2012|EPI_ISL_192784|VIC|2012-07-25	2012-07-26	2012.566735
A/SYDNEY/200/2012|EPI_ISL_122572|NSW|2012-01-09	2012-01-09	2012.024641
NODE_0000110	2011-09-02	2011.672110
