name,cdate
A/Victoria/37/2015|EPI_ISL_202633|2015-08-05,2015-08-05
A/Victoria/36/2015|EPI_ISL_202632|2015-08-03,2015-08-03
A/Victoria/35/2015|EPI_ISL_202631|2015-08-03,2015-08-03
A/Sydney/1024/2015|EPI_ISL_202629|2015-08-20,2015-08-20
A/Tasmania/1021/2015|EPI_ISL_202628|2015-08-20,2015-08-20
A/Sydney/1020/2015|EPI_ISL_202623|2015-08-21,2015-08-21
A/Sydney/1015/2015|EPI_ISL_202619|2015-08-14,2015-08-14
A/Tasmania/1016/2015|EPI_ISL_202617|2015-08-17,2015-08-17
A/Tasmania/1015/2015|EPI_ISL_202615|2015-08-17,2015-08-17
A/Sydney/1011/2015|EPI_ISL_202614|2015-08-20,2015-08-20
A/Sydney/1026/2015|EPI_ISL_202613|2015-07-28,2015-07-28
A/Sydney/1008/2015|EPI_ISL_202612|2015-07-15,2015-07-15
A/Tasmania/1014/2015|EPI_ISL_202610|2015-08-20,2015-08-20
A/Perth/116/2015|EPI_ISL_202609|2015-07-15,2015-07-15
A/Perth/114/2015|EPI_ISL_202608|2015-07-07,2015-07-07
A/Perth/113/2015|EPI_ISL_202607|2015-07-04,2015-07-04
A/Perth/101/2015|EPI_ISL_202605|2015-08-07,2015-08-07
A/Perth/90/2015|EPI_ISL_202603|2015-08-03,2015-08-03
A/Perth/74/2015|EPI_ISL_202601|2015-07-27,2015-07-27
A/Victoria/33/2015|EPI_ISL_202600|2015-08-03,2015-08-03
A/Victoria/30/2015|EPI_ISL_202598|2015-07-31,2015-07-31
A/Victoria/29/2015|EPI_ISL_202597|2015-07-30,2015-07-30
A/Victoria/28/2015|EPI_ISL_202596|2015-07-30,2015-07-30
A/Victoria/21/2015|EPI_ISL_202592|2015-07-02,2015-07-02
A/Victoria/19/2015|EPI_ISL_202590|2015-07-17,2015-07-17
A/Victoria/18/2015|EPI_ISL_202589|2015-07-15,2015-07-15
A/Victoria/17/2015|EPI_ISL_202588|2015-07-08,2015-07-08
A/Brisbane/1004/2015|EPI_ISL_202586|2015-07-24,2015-07-24
A/Brisbane/1003/2015|EPI_ISL_202585|2015-07-28,2015-07-28
A/Sydney/1029/2015|EPI_ISL_202581|2015-08-04,2015-08-04
A/SouthAustralia/1016/2015|EPI_ISL_202579|2015-08-03,2015-08-03
A/Townsville/1004/2015|EPI_ISL_202578|2015-08-10,2015-08-10
A/Sydney/1028/2015|EPI_ISL_202575|2015-08-09,2015-08-09
A/Brisbane/1005/2015|EPI_ISL_202574|2015-08-10,2015-08-10
A/Victoria/3054/2015|EPI_ISL_202459|2015-09-03,2015-09-03
A/Sydney/145/2015|EPI_ISL_202456|2015-08-09,2015-08-09
A/Sydney/1030/2015|EPI_ISL_202455|2015-08-05,2015-08-05
A/Perth/48/2015|EPI_ISL_202449|2015-06-15,2015-06-15
A/Brisbane/82/2015|EPI_ISL_201682|2015-04-22,2015-04-22
A/Victoria/835/2015|EPI_ISL_198065|2015-08-01,2015-08-01
A/Victoria/849/2015|EPI_ISL_198062|2015-08-10,2015-08-10
A/Sydney/57/2015|EPI_ISL_198059|2015-06-19,2015-06-19
A/Brisbane/140/2015|EPI_ISL_198057|2015-07-06,2015-07-06
A/Townsville/17/2015|EPI_ISL_198056|2015-07-02,2015-07-02
A/Victoria/823/2015|EPI_ISL_198044|2015-07-23,2015-07-23
A/Brisbane/132/2015|EPI_ISL_198031|2015-06-29,2015-06-29
A/Brisbane/130/2015|EPI_ISL_198030|2015-07-06,2015-07-06
A/Brisbane/127/2015|EPI_ISL_198028|2015-06-24,2015-06-24
A/Victoria/16/2015|EPI_ISL_198024|2015-07-09,2015-07-09
A/Victoria/15/2015|EPI_ISL_198023|2015-07-09,2015-07-09
A/Canberra/46/2015|EPI_ISL_198022|2015-07-03,2015-07-03
A/Victoria/2502/2015|EPI_ISL_198017|2015-07-08,2015-07-08
A/Victoria/536/2015|EPI_ISL_198016|2015-07-11,2015-07-11
A/Victoria/531/2015|EPI_ISL_198013|2015-06-28,2015-06-28
A/Tasmania/29/2015|EPI_ISL_198012|2015-07-09,2015-07-09
A/Brisbane/122/2015|EPI_ISL_198011|2015-06-11,2015-06-11
A/Victoria/535/2015|EPI_ISL_198010|2015-07-11,2015-07-11
A/Victoria/528/2015|EPI_ISL_198007|2015-07-01,2015-07-01
A/Victoria/527/2015|EPI_ISL_198006|2015-06-25,2015-06-25
A/Victoria/524/2015|EPI_ISL_198004|2015-07-06,2015-07-06
A/Victoria/522/2015|EPI_ISL_198002|2015-06-30,2015-06-30
A/Victoria/519/2015|EPI_ISL_198000|2015-06-27,2015-06-27
A/Newcastle/13/2015|EPI_ISL_197994|2015-06-13,2015-06-13
A/SouthAustralia/76/2015|EPI_ISL_197993|2015-06-25,2015-06-25
A/Victoria/515/2015|EPI_ISL_197992|2015-06-28,2015-06-28
A/Tasmania/28/2015|EPI_ISL_197990|2015-07-08,2015-07-08
A/Tasmania/1002/2015|EPI_ISL_197987|2015-06-24,2015-06-24
A/SouthAustralia/75/2015|EPI_ISL_197983|2015-06-25,2015-06-25
A/Canberra/24/2015|EPI_ISL_197981|2015-06-16,2015-06-16
A/Victoria/13/2015|EPI_ISL_197979|2015-06-25,2015-06-25
A/Brisbane/123/2015|EPI_ISL_197978|2015-06-13,2015-06-13
A/Brisbane/119/2015|EPI_ISL_197977|2015-06-10,2015-06-10
A/Brisbane/115/2015|EPI_ISL_197975|2015-06-09,2015-06-09
A/Victoria/11/2015|EPI_ISL_197973|2015-06-20,2015-06-20
A/Brisbane/112/2015|EPI_ISL_197970|2015-05-26,2015-05-26
A/Sydney/1006/2015|EPI_ISL_197968|2015-06-18,2015-06-18
A/SouthAustralia/1002/2015|EPI_ISL_197967|2015-06-09,2015-06-09
A/Brisbane/1000/2015|EPI_ISL_197966|2015-06-05,2015-06-05
A/Victoria/803/2015|EPI_ISL_197960|2015-06-17,2015-06-17
A/Perth/43/2015|EPI_ISL_197959|2015-05-21,2015-05-21
A/Perth/40/2015|EPI_ISL_197958|2015-05-12,2015-05-12
A/Perth/31/2015|EPI_ISL_197955|2015-04-13,2015-04-13
A/Perth/29/2015|EPI_ISL_197954|2015-03-28,2015-03-28
A/Perth/24/2015|EPI_ISL_197953|2015-03-19,2015-03-19
A/Brisbane/105/2015|EPI_ISL_197952|2015-05-12,2015-05-12
A/Brisbane/90/2015|EPI_ISL_197950|2015-05-07,2015-05-07
A/SouthAustralia/70/2015|EPI_ISL_197946|2015-06-02,2015-06-02
A/Brisbane/74/2015|EPI_ISL_197941|2015-04-14,2015-04-14
A/SouthAustralia/64/2015|EPI_ISL_197940|2015-05-22,2015-05-22
A/Brisbane/80/2015|EPI_ISL_197938|2015-04-22,2015-04-22
A/Brisbane/88/2015|EPI_ISL_197933|2015-05-05,2015-05-05
A/SouthAustralia/61/2015|EPI_ISL_197929|2015-05-09,2015-05-09
A/Newcastle/4/2015|EPI_ISL_197927|2015-04-06,2015-04-06
A/SouthAustralia/60/2015|EPI_ISL_197923|2015-05-03,2015-05-03
A/Canberra/13/2015|EPI_ISL_197922|2015-03-23,2015-03-23
A/Brisbane/56/2015|EPI_ISL_197919|2015-03-04,2015-03-04
A/SouthAustralia/53/2015|EPI_ISL_197918|2015-04-19,2015-04-19
A/SouthAustralia/52/2015|EPI_ISL_197917|2015-04-22,2015-04-22
A/SouthAustralia/54/2015|EPI_ISL_197915|2015-04-19,2015-04-19
A/SouthAustralia/51/2015|EPI_ISL_197914|2015-04-22,2015-04-22
A/Townsville/12/2015|EPI_ISL_197912|2015-03-25,2015-03-25
A/Victoria/509/2015|EPI_ISL_197910|2015-04-24,2015-04-24
A/Sydney/27/2015|EPI_ISL_197908|2015-04-09,2015-04-09
A/Sydney/24/2015|EPI_ISL_197907|2015-03-11,2015-03-11
A/Townsville/14/2015|EPI_ISL_197906|2015-03-11,2015-03-11
A/Brisbane/64/2015|EPI_ISL_197905|2015-04-05,2015-04-05
A/Sydney/29/2015|EPI_ISL_197904|2015-04-09,2015-04-09
A/Sydney/21/2015|EPI_ISL_197901|2015-03-10,2015-03-10
A/Sydney/19/2015|EPI_ISL_197900|2015-04-02,2015-04-02
A/Victoria/2019/2015|EPI_ISL_197899|2015-03-30,2015-03-30
A/Townsville/11/2015|EPI_ISL_197897|2015-03-23,2015-03-23
A/SouthAustralia/46/2015|EPI_ISL_197895|2015-04-05,2015-04-05
A/Victoria/2024/2015|EPI_ISL_197894|2015-04-01,2015-04-01
A/Victoria/2021/2015|EPI_ISL_197893|2015-04-03,2015-04-03
A/Victoria/2010/2015|EPI_ISL_197892|2015-03-12,2015-03-12
A/Victoria/2014/2015|EPI_ISL_197889|2015-03-20,2015-03-20
A/Townsville/10/2015|EPI_ISL_197888|2015-03-22,2015-03-22
A/Brisbane/43/2015|EPI_ISL_197887|2015-03-21,2015-03-21
A/Townsville/8/2015|EPI_ISL_197886|2015-03-16,2015-03-16
A/Victoria/2009/2015|EPI_ISL_197884|2015-03-11,2015-03-11
