name,state,cdate
A/Canberra/3/2014|EPI_ISL_219280|ACT|2014-01-27,ACT,2014-01-27
A/Canberra/2/2014|EPI_ISL_219279|ACT|2014-01-23,ACT,2014-01-23
A/Brisbane/1/2013|EPI_ISL_219278|QLD|2013-01-03,QLD,2013-01-03
A/Brisbane/21/2013|EPI_ISL_219275|QLD|2013-02-27,QLD,2013-02-27
A/Brisbane/341/2014|EPI_ISL_219046|QLD|2014-10-03,QLD,2014-10-03
A/Victoria/6001/2015|EPI_ISL_219040|VIC|2015-01-04,VIC,2015-01-04
A/Victoria/511/2015|EPI_ISL_219039|VIC|2015-05-16,VIC,2015-05-16
A/Victoria/503/2015|EPI_ISL_219038|VIC|2015-03-31,VIC,2015-03-31
A/Victoria/5006/2014|EPI_ISL_219037|VIC|2014-08-25,VIC,2014-08-25
A/Victoria/1000/2015|EPI_ISL_219035|VIC|2015-06-17,VIC,2015-06-17
A/Tasmania/1012/2015|EPI_ISL_219034|TAS|2015-08-04,TAS,2015-08-04
A/SouthAustralia/21/2015|EPI_ISL_219031|SA|2015-03-13,SA,2015-03-13
A/Brisbane/82/2015|EPI_ISL_219029|QLD|2015-04-22,QLD,2015-04-22
A/Brisbane/47/2015|EPI_ISL_219027|QLD|2015-03-18,QLD,2015-03-18
A/Brisbane/174/2015|EPI_ISL_219025|QLD|2015-09-07,QLD,2015-09-07
A/Victoria/455/2015|EPI_ISL_209074|VIC|2015-12-15,VIC,2015-12-15
A/Brisbane/195/2015|EPI_ISL_209073|QLD|2015-11-02,QLD,2015-11-02
A/Brisbane/197/2015|EPI_ISL_209072|QLD|2015-11-09,QLD,2015-11-09
A/Victoria/2071/2015|EPI_ISL_209048|VIC|2015-08-03,VIC,2015-08-03
A/Victoria/664/2015|EPI_ISL_209046|VIC|2015-09-22,VIC,2015-09-22
A/Perth/68/2015|EPI_ISL_202703|WA|2015-07-15,WA,2015-07-15
A/Sydney/1022/2015|EPI_ISL_202700|NSW|2015-08-20,NSW,2015-08-20
A/SouthAustralia/119/2015|EPI_ISL_202699|SA|2015-08-21,SA,2015-08-21
A/Victoria/3059/2015|EPI_ISL_202697|VIC|2015-09-04,VIC,2015-09-04
A/Tasmania/1007/2015|EPI_ISL_202694|TAS|2015-07-06,TAS,2015-07-06
A/Victoria/44/2015|EPI_ISL_202652|VIC|2015-08-07,VIC,2015-08-07
A/Victoria/23/2015|EPI_ISL_202641|VIC|2015-07-23,VIC,2015-07-23
A/Victoria/48/2015|EPI_ISL_202639|VIC|2015-08-10,VIC,2015-08-10
A/Sydney/1024/2015|EPI_ISL_202629|NSW|2015-08-20,NSW,2015-08-20
A/Sydney/1020/2015|EPI_ISL_202623|NSW|2015-08-21,NSW,2015-08-21
A/Tasmania/1014/2015|EPI_ISL_202610|TAS|2015-08-20,TAS,2015-08-20
A/Perth/116/2015|EPI_ISL_202609|WA|2015-07-15,WA,2015-07-15
A/Perth/114/2015|EPI_ISL_202608|WA|2015-07-07,WA,2015-07-07
A/Victoria/19/2015|EPI_ISL_202590|VIC|2015-07-17,VIC,2015-07-17
